model,repeat,case,case_id,source_run_id,score,cost_usd,provider_calls
GPT-5.6 Terra high,3,5,GM-FRONTIER-META-CREATIVE-WRITE-005,terra-bedrock-global-cache-resumed-20260908-r3-case05,92.22,0.9038526,15
GPT-5.6 Terra high,3,6,GM-FRONTIER-META-IDEMPOTENCY-006,terra-bedrock-global-cache-resumed-20260908-r3-case06,60,0.3218823,7
GPT-5.6 Terra high,3,7,GM-FRONTIER-GADS-BID-SAFETY-007,terra-bedrock-global-cache-resumed-20260908-r3-case07,57,0.259933,5
GPT-5.6 Terra high,3,8,GM-FRONTIER-META-ACTIVITY-SCALE-008,terra-bedrock-global-cache-resumed-20260908-r3-case08,70,0.5819974,12
GPT-5.6 Terra high,3,9,GM-FRONTIER-META-AUDIENCE-MERGE-009,terra-bedrock-global-cache-resumed-20260908-r3-case09,18.18,0.2508762,6
GPT-5.6 Terra high,3,10,GM-FRONTIER-XPLAT-PACING-010,terra-bedrock-global-cache-resumed-20260908-r3-case10,79,0.6340224,10
GPT-5.6 Terra high,3,11,GM-FRONTIER-GADS-MIXSHIFT-011,terra-bedrock-global-cache-resumed-20260908-r3-case11,50,0.1903857,7
GPT-5.6 Terra high,3,12,GM-FRONTIER-SHOPIFY-FUNNEL-012,terra-bedrock-global-cache-resumed-20260908-r3-case12,83.64,0.25420740000000003,5
GPT-5.6 Terra high,3,13,GM-FRONTIER-XPLAT-BUDGETS-013,terra-bedrock-global-cache-resumed-20260908-r3-case13,69.29,0.2846719,5
GPT-5.6 Terra high,3,14,GM-FRONTIER-GADS-COVERAGE-014,terra-bedrock-global-cache-resumed-20260908-r3-case14,90,0.2904297,5
GPT-5.6 Terra high,3,15,GM-FRONTIER-META-RECONCILE-015,terra-bedrock-global-cache-resumed-20260908-r3-case15,100,0.5205125,7
